contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
666893,226,13,21,7,0.333,3.367,0.078,8.84,0.855,1.969,10.762,4.0,24.292,0.68,7.0,3.762,3.0,2.7,0.382,4.0,3.183,2.0,4.682,0.521,2.0,3.102,0.001,11.895,0.876,0.184,7.676,2.109,12.823,0.716,9.327,3.511,0.062,8.369,0.841,2.092,17.385,21.0,12.487,0.385,24.0,human
973364,30,10,3,1,0.333,66.336,0.139,202.096,0.899,3.901,10.0,5.0,12.288,0.511,11.5,4.0,2.0,4.359,0.444,4.0,10.0,5.0,12.288,0.511,11.5,119.927,114.597,122.678,0.181,122.592,781.975,781.975,10.0,0.005,7.071,73.993,0.139,216.895,0.894,3.901,3.0,3.0,1.054,0.18,1.75,human
944558,280,9,10,6,0.6,5.732,0.212,20.123,0.869,1.945,28.0,8.0,49.641,0.716,17.75,1.9,1.5,1.101,0.289,1.75,6.087,2.0,9.167,0.584,6.0,15.408,0.528,39.249,0.756,16.416,19.788,4.549,42.595,0.71,20.776,7.645,0.152,18.49,0.843,3.457,31.111,3.0,82.498,0.814,1.0,human
857844,243,15,22,6,0.273,2.011,0.084,6.085,0.874,0.663,11.045,3.0,23.29,0.733,4.75,2.591,2.0,2.13,0.377,3.0,3.682,2.0,4.691,0.533,3.75,2.226,0.003,7.062,0.796,0.675,5.227,0.888,10.091,0.754,6.183,2.357,0.1,6.725,0.865,0.717,16.2,9.0,22.396,0.566,15.5,human
596848,101,13,6,5,0.833,14.734,0.122,51.764,0.913,0.74,16.833,5.0,30.215,0.691,8.5,3.667,2.5,3.445,0.439,3.25,11.222,2.0,25.129,0.739,4.0,86.261,0.065,143.058,0.596,117.533,87.137,33.509,112.764,0.625,154.624,17.677,0.151,57.418,0.904,1.288,7.769,4.0,7.236,0.478,10.0,human
789566,231,11,5,4,0.8,2.61,0.049,11.386,0.921,0.326,46.2,2.0,96.642,0.767,7.0,3.0,1.0,4.472,0.533,0.0,17.769,4.0,24.95,0.653,22.0,44.222,0.144,84.993,0.723,51.058,2.114,0.143,3.711,0.741,2.65,3.964,0.111,14.62,0.9,0.762,21.0,8.0,25.409,0.537,13.5,human
763568,255,9,2,2,1.0,5.967,0.038,65.515,0.982,0.142,127.5,127.5,178.898,0.496,126.5,4.5,4.5,4.95,0.389,3.5,127.5,127.5,178.898,0.496,126.5,257.505,257.505,364.167,0.0,257.505,1000.701,1000.701,0.0,0.0,0.0,11.835,0.02,93.583,0.978,0.157,28.333,22.0,47.437,0.631,18.0,human
349666,260,14,9,5,0.556,4.812,0.139,16.065,0.902,0.793,28.889,5.0,71.476,0.802,7.0,3.667,2.0,3.0,0.418,5.0,7.647,2.0,12.183,0.648,5.75,26.67,0.475,46.354,0.672,42.303,10.29,0.24,24.329,0.841,2.795,5.76,0.176,17.89,0.898,0.792,18.571,8.0,22.94,0.588,30.5,human
378899,163,14,19,2,0.105,13.157,0.025,40.549,0.895,1.43,8.579,3.0,13.809,0.639,8.0,2.789,2.0,2.507,0.403,2.0,1.964,1.0,1.928,0.38,1.0,5.798,0.0,37.466,0.922,0.035,20.124,0.328,41.928,0.824,10.084,16.012,0.049,45.537,0.88,2.037,11.643,7.0,13.732,0.521,12.25,human
459475,242,11,4,1,0.25,5.377,0.071,18.609,0.907,0.735,60.5,32.5,81.349,0.597,83.5,6.0,6.0,4.397,0.354,5.5,5.149,2.0,9.637,0.61,3.0,17.913,0.061,67.488,0.884,0.827,9.87,0.493,26.747,0.862,2.584,6.803,0.149,21.229,0.89,1.214,22.0,14.0,20.645,0.466,17.0,human
