,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
0,0crat,260,2,21,3,0.143,0.602,0.07,1.865,0.844,0.375,12.381,10.0,17.778,0.536,12.0,1.19,1.0,0.402,0.13,0.0,2.549,2.0,6.213,0.46,1.0,0.298,0.001,1.558,0.894,0.001,1.243,0.296,2.814,0.771,0.561,2.683,1.511,3.57,0.626,3.688,130.0,130.0,166.877,0.454,118.0,bot
1,24emebot,300,1,1,1,1.0,6.681,0.667,13.41,0.786,4.342,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1997.584,1997.584,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
3,47erbot,224,8,13,3,0.231,0.686,0.004,3.719,0.957,0.015,17.231,16.0,10.109,0.273,8.0,4.231,4.0,1.235,0.131,1.0,3.111,2.0,2.806,0.358,2.0,0.706,0.0,3.93,0.961,0.01,1.44,0.013,5.809,0.936,0.037,0.604,0.002,3.764,0.966,0.011,28.0,36.5,19.086,0.344,32.75,bot
4,5imon-bot,59,3,4,1,0.25,35.972,5.904,58.598,0.716,43.218,14.75,11.5,10.689,0.326,9.75,1.5,1.0,1.0,0.25,0.5,2.107,1.0,2.393,0.409,1.0,33.798,0.0,89.338,0.722,1.431,42.224,17.156,51.499,0.608,56.777,1.319,0.004,2.235,0.727,1.88,19.667,2.0,30.6,0.599,26.5,bot
5,9cibot,37,2,4,1,0.25,41.509,0.096,96.869,0.778,19.041,9.25,5.0,10.626,0.48,7.25,2.0,2.0,0.0,0.0,0.0,3.364,2.0,2.838,0.359,1.0,55.769,0.0,129.319,0.566,0.091,88.088,19.996,133.575,0.689,112.307,16.822,0.0,46.728,0.765,0.27,18.5,18.5,6.364,0.122,4.5,bot
10,abpbot,270,4,4,1,0.25,8.121,1.359,17.778,0.775,6.024,67.5,57.0,38.475,0.259,34.0,2.5,2.5,1.291,0.25,1.5,2.784,2.0,2.855,0.449,2.0,14.357,0.103,47.041,0.799,3.681,8.249,2.932,13.984,0.674,7.32,4.519,0.579,10.997,0.783,3.297,67.5,22.0,102.497,0.619,73.0,bot
11,abrt-bot,6,3,4,1,0.25,144.003,0.001,321.998,0.8,0.002,1.5,1.5,0.577,0.167,1.0,1.25,1.0,0.5,0.15,0.25,1.2,1.0,0.447,0.133,0.0,0.0,0.0,0.0,0.0,0.0,180.003,0.002,360.005,0.75,180.004,0.001,0.001,0.0,0.25,0.0,2.0,1.0,1.732,0.333,1.5,bot
16,acrnsi-robot,51,2,2,1,0.5,40.406,8.36,73.164,0.746,42.635,25.5,25.5,34.648,0.48,24.5,1.5,1.5,0.707,0.167,0.5,17.0,5.0,24.331,0.575,22.0,634.057,59.08,1047.471,0.469,921.546,59.063,59.063,70.096,0.42,49.566,36.235,2.56,71.657,0.78,23.464,25.5,25.5,4.95,0.069,3.5,bot
18,actions-bot,155,4,13,2,0.154,6.544,0.082,10.355,0.735,12.641,11.923,13.0,5.634,0.246,4.0,1.154,1.0,0.376,0.113,0.0,2.067,2.0,1.044,0.26,2.0,0.47,0.004,3.709,0.956,0.029,13.141,12.922,11.218,0.466,14.921,6.272,2.074,8.07,0.612,9.839,38.75,4.0,70.84,0.692,35.75,bot
19,activeeon-bot,104,2,11,1,0.091,21.238,12.507,26.17,0.595,22.024,9.455,5.0,13.322,0.587,7.0,1.0,1.0,0.0,0.0,0.0,1.405,1.0,0.978,0.244,0.0,7.147,0.0,22.172,0.561,0.0,22.721,13.2,28.244,0.597,22.365,20.781,12.507,24.612,0.579,22.31,52.0,52.0,8.485,0.058,6.0,bot
20,actonmassbot,88,1,1,1,1.0,25.118,0.058,60.411,0.854,8.394,88.0,88.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,2185.25,2185.25,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,88.0,88.0,0.0,0.0,0.0,bot
21,adacore-bot,300,7,32,1,0.031,1.404,0.187,5.053,0.827,0.685,9.375,5.0,10.716,0.507,6.25,1.781,2.0,0.751,0.221,1.0,1.261,1.0,0.573,0.17,0.0,0.115,0.0,0.687,0.777,0.0,1.656,0.263,5.614,0.824,0.737,1.438,0.153,5.362,0.864,0.525,42.857,5.0,89.375,0.765,22.0,bot
22,adafruit-adabot,244,8,25,2,0.08,8.229,0.064,10.272,0.628,22.099,9.76,1.0,20.911,0.761,2.0,1.32,1.0,0.748,0.206,0.0,1.683,1.0,1.69,0.294,1.0,5.629,0.0,17.206,0.743,0.001,8.219,3.789,9.418,0.601,14.402,6.454,0.045,9.29,0.7,11.976,30.5,12.5,33.73,0.55,49.5,bot
28,addonsbot,300,1,3,1,0.333,2.401,0.209,7.262,0.851,0.884,100.0,39.0,106.522,0.411,92.5,1.0,1.0,0.0,0.0,0.0,3.061,1.0,7.403,0.618,0.0,4.912,0.0,15.587,0.614,0.0,2.44,0.078,9.033,0.885,0.84,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
30,adguard-bot,84,6,7,1,0.143,0.259,0.136,0.336,0.588,0.235,12.0,1.0,26.963,0.769,2.5,1.286,1.0,0.756,0.19,0.0,6.462,2.0,15.841,0.716,2.0,1.441,0.006,4.492,0.797,0.301,0.232,0.171,0.23,0.527,0.385,0.299,0.149,0.391,0.567,0.238,14.0,7.5,20.14,0.603,9.75,bot
32,adobe-bot,300,3,229,2,0.009,0.262,0.098,1.994,0.723,0.153,1.31,1.0,0.764,0.198,0.0,1.004,1.0,0.066,0.004,0.0,1.01,1.0,0.13,0.01,0.0,0.0,0.0,0.0,0.423,0.0,0.265,0.099,2.004,0.72,0.151,0.101,0.118,0.072,0.325,0.059,100.0,3.0,169.744,0.656,147.5,bot
33,adoptopenjdk-github-bot,42,2,2,1,0.5,52.097,23.944,62.114,0.613,95.345,21.0,21.0,14.142,0.238,10.0,1.5,1.5,0.707,0.167,0.5,3.231,2.0,3.345,0.447,3.0,71.387,1.634,162.27,0.745,24.049,100.663,95.395,69.194,0.357,47.71,65.52,49.433,69.637,0.549,95.027,21.0,21.0,22.627,0.381,16.0,bot
35,agones-bot,300,2,6,6,1.0,2.536,0.728,7.678,0.787,0.829,50.0,2.0,117.097,0.808,3.5,1.167,1.0,0.408,0.119,0.0,13.043,2.0,25.464,0.75,4.5,32.55,0.785,73.286,0.695,5.8,0.433,0.448,0.414,0.52,0.725,0.838,0.486,1.992,0.699,0.769,150.0,150.0,195.161,0.46,138.0,bot
36,airshipbot,125,4,7,1,0.143,9.729,0.0,41.349,0.914,0.278,17.857,17.0,13.005,0.345,9.5,3.286,4.0,1.254,0.161,1.0,4.167,2.0,4.99,0.509,5.0,28.662,0.001,113.001,0.876,0.001,11.948,1.511,36.102,0.827,5.021,9.205,0.0,45.331,0.938,0.009,31.25,38.0,16.46,0.222,13.25,bot
39,al-cibot,193,3,8,1,0.125,11.032,0.897,25.403,0.812,8.538,24.125,15.0,25.848,0.533,32.5,1.625,2.0,0.518,0.144,1.0,2.757,2.0,2.261,0.388,2.0,11.153,0.146,30.034,0.785,3.759,19.385,7.829,31.471,0.676,17.494,20.228,2.878,37.483,0.762,18.537,64.333,17.0,87.231,0.532,77.0,bot
46,algitbot,300,1,1,1,1.0,0.431,0.066,1.018,0.78,0.229,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,128.999,128.999,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
47,algoanbot,122,3,7,1,0.143,18.266,21.635,21.486,0.554,23.999,17.429,7.0,23.151,0.555,12.5,1.714,2.0,0.488,0.119,0.5,4.692,4.0,3.609,0.404,4.75,71.684,0.008,125.847,0.715,102.0,13.858,3.402,18.782,0.599,19.398,8.982,2.015,15.867,0.729,19.098,40.667,33.0,24.42,0.257,23.5,bot
48,alibuild,289,8,18,12,0.667,0.247,0.004,0.676,0.828,0.17,16.056,3.0,20.618,0.615,23.25,2.389,2.0,1.29,0.283,1.75,1.68,1.0,2.556,0.315,1.0,0.08,0.0,0.427,0.868,0.0,0.335,0.002,0.84,0.84,0.212,0.301,0.003,0.76,0.829,0.205,36.125,34.5,28.292,0.398,50.5,bot
49,alliancebot,48,1,1,1,1.0,24.235,23.99,16.068,0.159,0.037,48.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,1139.051,1139.051,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,48.0,48.0,0.0,0.0,0.0,bot
50,alluxio-bot,189,6,1,1,1.0,3.311,0.406,8.813,0.804,2.477,189.0,189.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0,622.443,622.443,0.0,0.0,0.0,,,0.0,0.0,,2.018,0.308,6.64,0.776,1.855,31.5,13.0,38.625,0.574,54.0,bot
58,ampproject-artifacts-bot,166,1,1,1,1.0,13.396,3.792,26.616,0.73,15.011,166.0,166.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,166.0,166.0,0.0,0.0,0.0,2210.399,2210.399,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,166.0,166.0,0.0,0.0,0.0,bot
59,ampprojectbot,116,9,2,1,0.5,5.968,0.014,16.978,0.832,5.948,58.0,58.0,15.556,0.095,11.0,5.0,5.0,0.0,0.0,0.0,3.412,3.0,2.076,0.311,2.0,10.378,0.013,28.599,0.806,11.259,10.107,6.196,14.374,0.651,9.907,5.169,0.014,11.478,0.794,6.215,12.889,12.0,7.524,0.295,5.0,bot
61,analysis-bot,300,1,1,1,1.0,2.618,0.994,4.785,0.697,2.78,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,782.745,782.745,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
65,ansibot,46,3,1,1,1.0,4.109,1.885,8.502,0.64,2.299,46.0,46.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,184.925,184.925,0.0,0.0,0.0,,,0.0,0.0,,7.079,2.575,12.332,0.618,6.082,15.333,12.0,14.295,0.406,14.0,bot
66,ansibullbot,60,3,1,1,1.0,4.298,0.221,7.764,0.751,4.925,60.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,253.568,253.568,0.0,0.0,0.0,,,0.0,0.0,,7.93,5.201,10.15,0.595,10.126,20.0,17.0,18.682,0.411,18.5,bot
69,antrea-bot,205,3,3,1,0.333,9.897,0.005,28.356,0.892,0.316,68.333,11.0,107.193,0.618,95.0,2.0,2.0,1.0,0.222,1.0,13.667,6.0,15.66,0.563,17.5,108.113,4.838,201.159,0.673,131.787,28.375,3.802,46.56,0.716,36.272,17.801,0.325,40.504,0.785,19.394,68.333,6.0,107.965,0.608,93.5,bot
70,anysoftkeyboard-bot,163,5,1,1,1.0,13.642,15.062,12.974,0.458,23.928,163.0,163.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,2209.999,2209.999,0.0,0.0,0.0,,,0.0,0.0,,5.939,0.074,9.15,0.689,12.002,32.6,13.0,48.686,0.596,13.0,bot
72,apereocas-bot,103,4,1,1,1.0,9.887,0.001,24.649,0.855,4.863,103.0,103.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,103.0,103.0,0.0,0.0,0.0,1008.479,1008.479,0.0,0.0,0.0,,,0.0,0.0,,10.283,0.001,25.072,0.853,6.622,25.75,28.0,13.72,0.24,8.25,bot
75,apmmachine,189,6,10,2,0.2,0.635,0.001,3.423,0.93,0.07,18.9,16.0,13.486,0.383,24.25,2.6,3.0,0.843,0.162,1.0,4.395,3.0,3.818,0.438,4.0,0.972,0.002,4.046,0.916,0.017,1.845,0.092,6.839,0.895,0.562,0.716,0.002,4.289,0.946,0.041,31.5,34.5,23.39,0.368,26.75,bot
76,apollo-cla,87,1,26,2,0.077,25.451,17.571,31.79,0.541,24.163,3.346,1.0,5.223,0.573,1.75,1.0,1.0,0.0,0.0,0.0,1.13,1.0,0.409,0.105,0.0,3.431,0.0,14.762,0.509,0.0,25.323,17.188,32.727,0.547,24.119,,,0.0,0.0,,87.0,87.0,0.0,0.0,0.0,bot
77,aporeto-bot,300,3,18,2,0.111,1.147,0.0,7.88,0.965,0.0,16.667,17.0,4.899,0.108,1.75,1.944,2.0,0.416,0.078,0.0,1.045,1.0,0.444,0.043,0.0,0.292,0.0,4.35,0.639,0.0,0.906,0.0,7.107,0.972,0.0,19.29,3.438,32.964,0.719,12.75,100.0,17.0,148.111,0.576,129.5,bot
78,app-sre-bot,300,3,53,12,0.226,2.748,0.967,6.002,0.719,2.983,5.66,2.0,8.974,0.614,4.0,1.038,1.0,0.192,0.035,0.0,1.429,1.0,0.996,0.254,0.0,0.421,0.0,3.482,0.856,0.0,3.509,1.762,6.58,0.632,3.317,3.037,2.438,2.049,0.365,3.247,100.0,5.0,167.15,0.647,145.5,bot
79,appveyorbot,300,1,38,18,0.474,1.326,0.31,2.233,0.7,1.315,7.895,7.0,7.15,0.452,8.0,1.0,1.0,0.0,0.0,0.0,1.277,1.0,0.596,0.18,0.0,0.304,0.0,1.444,0.726,0.0,1.388,0.332,2.283,0.698,1.364,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
81,arangodb-release-bot,31,4,3,1,0.333,71.211,0.935,184.943,0.842,46.283,10.333,9.0,8.083,0.344,8.0,2.333,2.0,1.528,0.286,1.5,3.1,2.5,2.132,0.352,4.0,139.116,1.166,268.108,0.68,113.818,82.795,1.268,195.32,0.815,53.363,48.094,0.651,125.36,0.836,23.927,7.75,7.5,1.708,0.105,1.75,bot
82,archzfs-bot,61,1,8,1,0.125,28.465,0.002,92.204,0.912,0.001,7.625,9.0,3.503,0.203,2.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465,0.002,92.204,0.912,0.001,,,0.0,0.0,,61.0,61.0,0.0,0.0,0.0,bot
83,arcus-automation,4,1,3,1,0.333,368.502,409.684,349.317,0.419,347.492,1.333,1.0,0.577,0.167,0.5,1.0,1.0,0.0,0.0,0.0,1.333,1.0,0.577,0.167,0.5,0.14,0.0,0.242,0.0,0.21,552.543,552.543,202.034,0.129,142.86,,,0.0,0.0,,4.0,4.0,0.0,0.0,0.0,bot
84,arduino-ci-script-bot,41,5,8,4,0.5,35.247,0.05,185.821,0.963,0.219,5.125,5.0,3.357,0.345,5.5,1.625,1.5,0.744,0.221,1.0,1.206,1.0,0.538,0.15,0.0,5.844,0.0,34.031,0.799,0.0,36.702,0.056,202.526,0.965,0.243,7.372,0.056,34.627,0.947,0.211,8.2,5.0,8.349,0.488,10.0,bot
85,arduinobot,48,3,8,4,0.5,42.368,12.342,63.083,0.669,66.817,6.0,4.0,8.586,0.521,1.5,1.0,1.0,0.0,0.0,0.0,1.655,1.0,1.542,0.339,0.0,31.758,0.0,71.316,0.26,0.0,38.225,2.376,64.145,0.716,56.493,65.911,35.131,76.596,0.582,108.195,16.0,17.0,12.53,0.347,12.5,bot
92,artsyit,250,8,16,1,0.062,1.132,0.028,6.233,0.923,0.22,15.625,6.0,23.289,0.573,7.25,4.125,4.0,1.025,0.131,2.0,2.427,2.0,2.354,0.403,2.0,0.775,0.0,2.758,0.863,0.064,1.981,0.051,9.352,0.91,0.495,1.291,0.038,6.951,0.922,0.264,31.25,21.5,26.391,0.434,36.0,bot
94,arvados-bot,127,4,4,1,0.25,17.377,3.197,25.827,0.69,20.832,31.75,17.5,39.895,0.553,38.75,1.75,1.0,1.5,0.321,0.75,3.175,2.0,3.5,0.49,2.25,30.614,0.379,57.605,0.642,43.467,24.743,18.721,29.627,0.587,24.743,6.54,1.146,12.565,0.727,1.451,31.75,1.0,61.5,0.726,30.75,bot
95,asf-ci,55,4,4,1,0.25,39.47,3.278,97.291,0.815,34.668,13.75,8.5,15.414,0.495,13.75,1.5,1.5,0.577,0.167,1.0,2.75,2.0,2.613,0.41,2.25,40.512,0.0,151.026,0.874,5.043,69.535,38.804,112.025,0.595,66.966,49.821,24.001,98.316,0.7,55.913,13.75,7.0,14.863,0.423,7.75,bot
97,async-aws-bot,96,2,3,3,1.0,21.98,8.007,35.277,0.662,23.075,32.0,28.0,10.583,0.139,10.0,1.333,1.0,0.577,0.167,0.5,1.263,1.0,0.597,0.172,0.0,11.894,0.0,32.622,0.482,0.0,15.788,2.479,27.809,0.653,22.512,9.139,0.001,30.004,0.869,1.462,48.0,48.0,38.184,0.281,27.0,bot
98,asyncapi-bot,159,9,15,1,0.067,0.618,0.002,3.399,0.944,0.033,10.6,6.0,11.728,0.522,10.5,4.6,4.0,2.414,0.288,4.0,4.297,2.0,4.582,0.505,3.0,0.438,0.0,2.263,0.914,0.046,2.261,0.03,6.676,0.847,1.708,0.663,0.004,3.691,0.949,0.026,17.667,21.0,14.748,0.436,20.0,bot
99,ata-buildbot,9,2,3,1,0.333,213.656,0.019,421.558,0.76,145.548,3.0,4.0,1.732,0.222,1.5,1.667,2.0,0.577,0.133,0.5,1.8,2.0,0.447,0.089,0.0,0.0,0.0,0.0,0.0,0.0,427.312,291.043,541.229,0.58,718.256,187.86,0.0,460.142,0.8,0.028,4.5,4.5,0.707,0.056,0.5,bot
100,atlantisbot,263,5,1,1,1.0,0.298,0.0,2.368,0.979,0.001,263.0,263.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,263.0,263.0,0.0,0.0,0.0,78.021,78.021,0.0,0.0,0.0,,,0.0,0.0,,0.32,0.0,2.457,0.978,0.001,52.6,55.0,9.762,0.079,0.0,bot
101,atlasbuildbot,300,3,2,1,0.5,0.082,0.001,0.837,0.975,0.001,150.0,150.0,83.439,0.197,59.0,3.0,3.0,0.0,0.0,0.0,6.25,5.0,2.605,0.218,5.0,0.002,0.002,0.001,0.298,0.003,0.519,0.003,2.074,0.882,0.267,0.095,0.0,0.907,0.974,0.001,100.0,96.0,10.583,0.044,10.0,bot
102,atlasbuildbot2,264,10,34,1,0.029,5.225,0.001,43.52,0.981,0.001,7.765,4.0,9.136,0.568,8.5,3.118,2.0,2.332,0.384,3.0,5.739,2.0,7.626,0.572,3.75,4.697,0.0,31.841,0.971,0.003,25.737,0.084,100.352,0.932,0.939,6.546,0.001,49.957,0.978,0.001,26.4,12.0,27.758,0.507,35.5,bot
103,atlasbuildbot3,272,10,28,1,0.036,4.892,0.001,42.797,0.982,0.001,9.714,2.0,16.273,0.664,8.25,3.036,2.0,2.411,0.398,3.0,6.974,2.0,13.297,0.661,3.0,5.541,0.0,34.584,0.968,0.001,29.202,0.079,108.82,0.928,1.17,6.374,0.0,48.781,0.977,0.001,27.2,18.0,28.565,0.516,33.75,bot
104,atyponci,32,2,9,1,0.111,70.028,3.777,135.127,0.766,106.131,3.556,3.0,1.74,0.25,2.0,1.222,1.0,0.441,0.141,0.0,1.185,1.0,0.483,0.137,0.0,19.423,0.0,75.061,0.593,0.0,63.325,2.91,141.909,0.809,47.46,58.245,6.981,109.969,0.755,40.051,16.0,16.0,0.0,0.0,0.0,bot
105,austationbot,110,3,1,1,1.0,7.927,0.005,12.811,0.723,23.947,110.0,110.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,864.005,864.005,0.0,0.0,0.0,,,0.0,0.0,,7.927,0.005,12.811,0.723,23.947,36.667,36.0,1.155,0.012,1.0,bot
109,autheliabot,89,3,2,1,0.5,24.118,0.0,60.208,0.701,8.859,44.5,44.5,60.104,0.478,42.5,1.5,1.5,0.707,0.167,0.5,29.667,10.0,41.187,0.562,37.5,563.162,418.027,648.032,0.502,635.726,216.432,216.432,231.919,0.379,163.991,144.289,52.44,206.172,0.586,190.209,29.667,1.0,49.652,0.644,43.0,bot
110,authenticator-bot,24,1,1,1,1.0,93.751,15.364,236.46,0.813,48.364,24.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,2156.273,2156.273,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,24.0,24.0,0.0,0.0,0.0,bot
111,autofix-bot,38,2,10,4,0.4,57.081,0.002,132.101,0.822,0.017,3.8,3.0,2.394,0.3,2.0,1.0,1.0,0.0,0.0,0.0,1.086,1.0,0.284,0.072,0.0,0.0,0.0,0.001,0.222,0.0,62.117,0.002,136.802,0.803,35.982,59.078,0.001,147.514,0.831,0.009,19.0,19.0,1.414,0.026,1.0,bot
112,autoricardo-bot,170,3,5,1,0.2,9.094,0.001,40.405,0.956,0.0,34.0,40.0,24.495,0.358,36.0,2.6,3.0,0.894,0.123,0.0,10.0,7.0,11.63,0.428,5.0,33.081,0.007,81.205,0.855,1.103,60.91,0.365,86.58,0.691,120.534,21.883,0.002,61.748,0.898,0.046,56.667,24.0,60.078,0.416,53.0,bot
113,aviary2-wf,195,1,37,2,0.054,11.26,2.694,17.977,0.707,17.683,5.27,3.0,7.636,0.558,4.0,1.0,1.0,0.0,0.0,0.0,1.189,1.0,0.56,0.144,0.0,1.659,0.0,9.638,0.767,0.0,11.733,3.221,18.0,0.694,17.82,,,0.0,0.0,,195.0,195.0,0.0,0.0,0.0,bot
114,avo-bot,20,3,3,1,0.333,92.261,55.588,89.38,0.498,99.534,6.667,3.0,7.234,0.433,6.5,2.0,2.0,0.0,0.0,0.0,2.222,1.0,1.986,0.389,2.0,69.833,0.0,127.184,0.439,53.463,140.557,148.111,111.131,0.411,150.214,114.612,89.377,99.852,0.452,131.35,6.667,9.0,4.933,0.3,4.5,bot
117,aws-cdk-automation,255,9,9,2,0.222,0.149,0.007,0.394,0.827,0.124,28.333,25.0,31.992,0.553,27.0,2.889,2.0,2.088,0.368,4.0,3.696,2.0,6.903,0.592,1.0,0.294,0.0,1.187,0.85,0.013,0.258,0.047,0.564,0.74,0.24,0.182,0.012,0.49,0.821,0.196,28.333,19.0,28.213,0.454,7.0,bot
118,aws-sdk-go-automation,216,7,1,1,1.0,7.484,0.001,19.65,0.849,0.0,216.0,216.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,216.0,216.0,0.0,0.0,0.0,1609.058,1609.058,0.0,0.0,0.0,,,0.0,0.0,,7.484,0.001,19.65,0.849,0.0,30.857,43.0,20.4,0.279,21.5,bot
121,azclibot,299,6,10,5,0.5,2.918,0.017,7.851,0.862,1.045,29.9,4.5,42.17,0.654,46.0,1.6,1.0,0.966,0.262,1.0,2.848,1.0,7.156,0.538,1.0,1.488,0.0,4.729,0.818,0.018,6.858,0.719,11.771,0.721,13.155,3.012,0.016,8.013,0.86,1.064,49.833,49.0,48.131,0.483,58.0,bot
123,azusabot,34,1,1,1,1.0,66.187,24.791,89.953,0.601,72.548,34.0,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,2184.187,2184.187,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,34.0,34.0,0.0,0.0,0.0,bot
125,babel-bot,235,4,2,1,0.5,9.441,3.928,13.707,0.641,11.327,117.5,117.5,163.342,0.491,115.5,2.5,2.5,2.121,0.3,1.5,47.0,7.0,78.463,0.693,41.0,434.195,79.505,679.795,0.465,499.078,9.537,3.126,13.345,0.538,7.165,9.833,4.246,15.32,0.655,10.676,58.75,39.5,61.37,0.471,68.25,bot
126,backpackbot,251,1,4,1,0.25,8.821,1.396,17.918,0.769,6.124,62.75,33.5,78.814,0.543,64.75,1.0,1.0,0.0,0.0,0.0,2.109,1.0,2.306,0.424,1.0,8.571,0.0,24.264,0.663,1.583,10.044,1.933,19.302,0.751,9.031,,,0.0,0.0,,251.0,251.0,0.0,0.0,0.0,bot
127,ballerina-bot,234,5,19,1,0.053,0.223,0.059,0.416,0.7,0.381,12.316,6.0,27.623,0.557,0.0,2.895,3.0,0.737,0.098,0.0,4.875,3.0,6.878,0.465,0.25,0.494,0.084,1.36,0.802,0.15,0.601,0.344,0.759,0.574,0.551,0.199,0.058,0.314,0.675,0.381,46.8,32.0,35.703,0.374,37.0,bot
131,batfish-bot,82,1,2,1,0.5,26.22,14.057,36.204,0.639,35.957,41.0,41.0,50.912,0.439,36.0,1.0,1.0,0.0,0.0,0.0,7.455,2.0,11.995,0.661,8.0,165.671,1.19,342.064,0.65,87.738,30.145,12.131,46.459,0.653,15.232,,,0.0,0.0,,82.0,82.0,0.0,0.0,0.0,bot
132,bbpbuildbot,300,1,5,2,0.4,2.018,0.474,4.836,0.777,0.906,60.0,54.0,47.313,0.391,59.0,1.0,1.0,0.0,0.0,0.0,2.041,1.0,1.72,0.375,1.5,2.048,0.0,7.254,0.755,0.883,2.071,0.392,4.634,0.78,0.951,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
135,bedevere-bot,300,1,1,1,1.0,3.583,0.313,9.046,0.821,2.294,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1071.191,1071.191,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
141,bert-e,293,6,8,1,0.125,0.321,0.0,3.507,0.968,0.002,36.625,18.0,49.696,0.603,44.25,3.5,4.5,2.138,0.304,4.0,9.156,5.0,9.309,0.516,11.5,0.43,0.021,1.133,0.83,0.099,2.581,0.176,10.584,0.883,0.84,0.122,0.001,0.55,0.926,0.003,48.833,46.5,34.19,0.345,26.75,bot
142,bespin-bot,11,1,1,1,1.0,153.6,3.0,285.8,0.774,151.998,11.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,1535.999,1535.999,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,11.0,11.0,0.0,0.0,0.0,bot
146,bhombot,143,2,60,1,0.017,12.512,0.0,78.273,0.975,0.0,2.383,3.0,0.958,0.203,2.0,1.05,1.0,0.22,0.045,0.0,1.007,1.0,0.084,0.007,0.0,0.67,0.0,7.988,0.0,0.0,11.925,0.0,78.238,0.978,0.0,397.984,411.387,273.901,0.326,397.591,71.5,71.5,95.459,0.472,67.5,bot
147,biocondabot,154,6,1,1,1.0,0.955,0.076,1.68,0.735,0.997,154.0,154.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,154.0,154.0,0.0,0.0,0.0,146.063,146.063,0.0,0.0,0.0,,,0.0,0.0,,0.955,0.066,1.706,0.744,0.996,25.667,12.5,27.471,0.502,44.75,bot
