,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
1325,vimc-robot,39,4,2,1,0.5,48.657,0.0,102.965,0.744,4.398,19.5,19.5,19.092,0.346,13.5,2.0,2.0,1.414,0.25,1.0,3.0,1.0,2.677,0.438,3.0,90.313,0.0,174.495,0.541,0.001,56.242,0.001,114.884,0.735,47.67,38.996,0.0,89.294,0.745,3.799,9.75,7.5,5.679,0.25,5.25,bot
1327,violinist-bot,300,4,14,4,0.286,0.269,0.002,1.234,0.887,0.21,21.429,3.0,49.572,0.791,4.5,1.571,1.0,0.756,0.234,1.0,1.546,1.0,0.611,0.197,1.0,0.061,0.0,0.558,0.964,0.001,0.355,0.008,1.426,0.84,0.253,0.187,0.001,0.855,0.864,0.208,75.0,91.5,46.996,0.268,31.5,bot
1332,vmwclabot,64,1,18,7,0.389,2.973,0.454,5.794,0.734,3.141,3.556,2.5,3.034,0.394,1.75,1.0,1.0,0.0,0.0,0.0,1.641,1.0,0.986,0.255,1.0,0.228,0.0,1.054,0.847,0.023,4.694,1.791,6.891,0.648,5.861,,,0.0,0.0,,64.0,64.0,0.0,0.0,0.0,bot
1333,volcano-sh-bot,132,6,5,1,0.2,9.222,0.764,16.081,0.762,11.942,26.4,5.0,50.678,0.709,4.0,2.0,2.0,1.225,0.28,1.0,8.25,2.5,12.819,0.601,9.0,56.509,3.479,79.841,0.602,90.169,20.262,21.185,16.362,0.438,22.789,4.613,0.014,11.656,0.859,2.052,22.0,3.0,39.618,0.717,17.0,bot
1335,vorpal-buildbot,160,3,3,1,0.333,2.415,0.048,5.649,0.847,0.997,53.333,15.0,78.831,0.596,71.5,1.667,2.0,0.577,0.133,0.5,9.412,5.0,10.453,0.542,13.0,18.077,10.0,18.027,0.506,32.836,4.793,2.983,4.86,0.496,3.793,4.771,0.422,7.846,0.741,4.565,53.333,65.0,34.99,0.279,33.5,bot
1338,vsuitebot,9,3,1,1,1.0,121.319,0.0,238.549,0.662,83.776,9.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,970.551,970.551,0.0,0.0,0.0,,,0.0,0.0,,121.319,0.0,238.549,0.662,83.776,3.0,3.0,0.0,0.0,0.0,bot
1339,vue-bot,116,1,1,1,1.0,19.203,0.514,55.77,0.847,10.318,116.0,116.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,0.0,2208.322,2208.322,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,116.0,116.0,0.0,0.0,0.0,bot
1340,w3fbot,16,1,4,1,0.25,112.7,72.194,146.552,0.614,121.517,4.0,2.0,4.761,0.5,4.0,1.0,1.0,0.0,0.0,0.0,1.778,1.0,1.563,0.347,0.0,58.671,0.0,175.791,0.499,0.0,145.307,83.766,159.229,0.462,64.498,,,0.0,0.0,,16.0,16.0,0.0,0.0,0.0,bot
1342,wallabag-bot,13,1,1,1,1.0,167.763,95.579,176.854,0.479,133.618,13.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,2013.151,2013.151,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,13.0,13.0,0.0,0.0,0.0,bot
1345,watson-github-bot,8,2,1,1,1.0,260.84,0.0,443.129,0.372,322.21,8.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1825.881,1825.881,0.0,0.0,0.0,,,0.0,0.0,,260.84,0.0,443.129,0.372,322.21,4.0,4.0,0.0,0.0,0.0,bot
1347,wdes-bot,19,3,2,2,1.0,100.086,0.001,147.919,0.703,166.048,9.5,9.5,3.536,0.132,2.5,2.5,2.5,0.707,0.1,0.5,4.75,3.5,3.775,0.355,4.25,356.116,133.657,548.689,0.656,489.773,125.693,101.628,98.16,0.339,95.922,100.086,0.001,147.919,0.703,166.048,6.333,9.0,4.619,0.281,4.0,bot
1349,webhookbotuser,6,1,4,1,0.25,272.832,23.068,482.519,0.536,221.278,1.5,1.0,1.0,0.25,0.5,1.0,1.0,0.0,0.0,0.0,1.5,1.0,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,454.721,221.278,584.454,0.536,548.374,,,0.0,0.0,,6.0,6.0,0.0,0.0,0.0,bot
1350,webpack-bot,109,3,2,1,0.5,9.474,5.537,11.023,0.559,11.096,54.5,54.5,64.347,0.417,45.5,3.0,3.0,0.0,0.0,0.0,6.412,4.0,7.525,0.563,7.0,45.307,2.666,72.676,0.53,49.167,15.809,8.833,18.697,0.559,14.155,10.471,5.666,12.008,0.553,13.202,36.333,38.0,6.658,0.08,6.5,bot
1351,webteam-app,209,4,19,1,0.053,1.509,0.125,3.294,0.802,1.111,11.0,3.0,28.896,0.737,4.5,1.105,1.0,0.459,0.09,0.0,2.75,1.0,7.453,0.56,1.0,1.567,0.0,6.707,0.8,0.316,2.596,0.933,3.251,0.623,3.662,3.257,0.238,4.153,0.649,6.518,52.25,49.5,25.591,0.224,40.25,bot
1352,webtorrent-bot,70,4,3,1,0.333,14.248,0.001,84.72,0.972,0.0,23.333,12.0,19.63,0.324,17.0,4.0,4.0,0.0,0.0,0.0,17.5,17.5,6.351,0.157,11.0,21.557,12.35,29.072,0.607,33.888,298.952,228.668,338.802,0.495,333.29,42.741,0.002,144.61,0.915,0.007,17.5,6.0,23.0,0.493,11.5,bot
1354,wet-boew-bot,274,2,7,1,0.143,6.403,0.001,33.996,0.949,0.002,39.143,37.0,21.232,0.255,19.5,1.714,2.0,0.488,0.119,0.5,1.305,1.0,0.52,0.174,1.0,0.0,0.0,0.0,0.224,0.0,8.364,0.001,38.663,0.938,0.297,4.414,0.0,21.137,0.932,0.001,137.0,137.0,156.978,0.405,111.0,bot
1356,wfcd-bot-boi,224,6,6,1,0.167,2.636,0.005,8.402,0.897,0.521,37.333,28.0,26.538,0.351,34.25,3.833,4.0,0.753,0.094,0.75,5.6,4.0,3.842,0.358,5.0,4.056,0.023,10.244,0.84,2.376,10.914,3.243,14.95,0.656,14.573,3.497,0.019,9.53,0.864,1.061,37.333,46.0,30.395,0.406,47.75,bot
1360,wildfly-ci,278,1,2,1,0.5,7.974,0.232,19.245,0.829,4.063,139.0,139.0,172.534,0.439,122.0,1.0,1.0,0.0,0.0,0.0,12.087,3.0,18.288,0.665,14.0,85.682,18.583,134.917,0.508,108.337,10.818,6.761,11.276,0.553,16.605,,,0.0,0.0,,278.0,278.0,0.0,0.0,0.0,bot
1362,windupgithubbot1,122,5,13,3,0.231,12.343,0.025,108.32,0.984,0.076,9.385,9.0,3.28,0.182,4.0,1.923,2.0,0.494,0.105,0.0,2.218,3.0,1.134,0.267,2.0,0.673,0.017,3.361,0.905,0.052,26.971,0.033,161.745,0.97,0.094,17.729,0.002,132.293,0.982,0.043,24.4,8.0,30.697,0.561,21.0,bot
1364,wingetbot,183,4,2,2,1.0,0.07,0.002,0.182,0.848,0.038,91.5,91.5,123.744,0.478,87.5,2.0,2.0,0.0,0.0,0.0,61.0,6.0,97.0,0.616,84.5,4.185,0.003,7.247,0.666,6.276,0.086,0.086,0.121,0.497,0.085,0.035,0.001,0.076,0.742,0.001,45.75,2.0,88.172,0.728,45.75,bot
1368,wolfssl-bot,60,2,4,1,0.25,35.419,24.113,31.81,0.449,35.732,15.0,2.5,26.013,0.667,14.0,1.25,1.0,0.5,0.15,0.25,4.615,2.0,6.752,0.585,4.0,129.909,24.285,259.884,0.601,88.674,33.407,20.913,30.134,0.465,47.148,36.236,20.524,39.615,0.541,43.448,30.0,30.0,7.071,0.083,5.0,bot
1371,wpmobilebot,297,8,6,3,0.5,0.375,0.128,1.054,0.734,0.228,49.5,59.0,37.324,0.375,59.75,2.667,2.5,1.366,0.25,1.0,2.007,1.5,1.501,0.34,1.0,0.246,0.0,0.888,0.738,0.182,0.507,0.154,1.253,0.721,0.292,0.435,0.19,0.614,0.618,0.229,37.125,1.5,98.174,0.84,2.75,bot
1372,wpt-pr-bot,102,3,1,1,1.0,1.424,0.664,2.541,0.633,1.19,102.0,102.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0,0.0,143.801,143.801,0.0,0.0,0.0,,,0.0,0.0,,0.967,0.982,0.869,0.462,1.009,34.0,4.0,53.703,0.614,47.0,bot
1373,wptfyibot,300,3,1,1,1.0,0.977,0.0,4.907,0.943,0.015,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,292.018,292.018,0.0,0.0,0.0,,,0.0,0.0,,0.992,0.0,4.947,0.942,0.015,100.0,100.0,0.0,0.0,0.0,bot
1374,wso2-jenkins-bot,297,6,17,2,0.118,0.392,0.001,2.634,0.926,0.085,17.471,5.0,27.329,0.563,15.0,4.118,4.0,0.485,0.027,0.0,3.96,3.0,3.909,0.426,3.0,0.188,0.001,0.495,0.83,0.058,1.376,0.147,5.153,0.863,0.511,0.485,0.001,3.009,0.931,0.075,49.5,43.5,40.991,0.377,19.0,bot
1375,wstgbot,12,3,3,2,0.667,95.173,0.001,187.318,0.794,95.914,4.0,5.0,1.732,0.167,1.5,1.333,1.0,0.577,0.167,0.5,1.091,1.0,0.302,0.076,0.0,0.0,0.0,0.0,0.0,0.0,104.69,0.001,194.627,0.774,137.244,95.173,0.001,187.318,0.794,95.914,4.0,5.0,2.646,0.278,2.5,bot
